Marie Claire Clover Embossed Cuff Bracelet with Swarovski Crystals,CHIC,BANGLE,"A cuff that even Wonder Woman would covet, this gleaming yellow plated brass bracelet by Marie Claire is embossed with clover pattern and trimmed with sparkling Swarovski crystal.",XRG001482YCY
Marie Claire Clover Charm Bangle Rose Plated Brass,CHIC,BANGLE,"Fresh and fantastic, you can't go wrong with this twisted rope style bangle by Marie Claire, crafted in rose plated brass suspending a clover charm. Worn on its own or clustered, this 7.5 inch bracelet will be you go-to piece for any occasion.",XRG001483RCY75
Marie Claire Clover Charm Bangle Yellow Plated Brass,CHIC,BANGLE,"A twist on a classic bangle, this Marie Claire slip-on bracelet in braided rope style with dangling clover charm is crafted in yellow plated brass. A jewelry wardrobe must-have, alone or stacked, the bracelet is available in 7.5 inch size.",XRG001483YCY75
"Marie Claire Clover Ring, Pink & Black Enamel with Swarovski Crystals",CHIC,RINGS,"A bold design statement, this regal ring by Marie Claire is crafted in white rhodium plated brass with open clover patterned gallery, Swarovski crystal trim and pink crystal clustered center on black enamel with clover motif overlay in size 6-9.",XRN000548WPCY7
"Marie Claire Clover Ring, Yellow Plated Brass with Swarovski Crystals",CHIC,RINGS,"Stately and stylish, this bold ring by Marie Claire flashes design detail at every turn. Crafted in yellow plated brass with open clover patterned gallery, this size 6-9  ring centers black enamel trimmed in Swarovski crystal with clover overlay.",XRN000696YCY7
"Marie Claire Twisted Rope Ring with Clover Charm, Rose Plated Brass",CHIC,RINGS,"Alone or mixed with other favorites, this twisted rope band by Marie Claire is crafted in rose plated brass dangling an iconic clover charm. A must-have, the ring is available in size 6-9, the ideal addition to any jewelry wardrobe.",XRN000783R675
Marie Claire Rose Plated Brass Ring with Swarovski Crystals,CHIC,RINGS,"En masse or ala carte, this sleek band by Marie Claire with Swarovski crystal clovers in rose plated brass is jewelry wardrobe must-have. Classic and chic, the ring is available in size 6 through 9.",XRN000783RCY675
"Marie Claire Twisted Rope Ring with Clover Charm, Rhodium Plated Brass",CHIC,RINGS,"Fashionable and fun, this twisted rope band by Marie Claire is crafted in white rhodium plated brass dangling an iconic clover charm. Perfect alone or stacked with others, this must-have ring is available in size 6-9.",XRN000783W675
Marie Claire Rhodium Plated Brass Ring with Swarovski Crystals,CHIC,RINGS,"Worn alone or stacked, this sleek band by Marie Claire glistens with Swarovski crystal clovers in white rhodium plated brass. A perfect addition to any jewelry wardrobe, this go-to ring is available in size 6-9.",XRN000783WCY675
"Marie Claire Twisted Rope Ring with Clover Charm, Yellow Plated Brass",CHIC,RINGS,"A delightful design full of personality and style, this twisted rope band by Marie Claire is crafted in yellow plated brass and dangles an iconic clover charm. A must-have, the ring is available in size 6-9, perfect alone or mingled with many.",XRN000783Y675
Marie Claire Yellow Plated Brass Ring with Swarovski Crystals,CHIC,RINGS,"Alone or stacked high, this sleek band by Marie Claire with Swarovski crystal set clovers in yellow plated brass will be your go-to piece. A timeless favorite in any jewelry wardrobe, this ring is available in size 6-9.",XRN000783YCY675
"Marie Claire Marine-Inspired Clover Ring, Navy Blue with Swarovski Crystals",CHIC,RINGS,"Bold and beautiful, this navy blue enamel ring by Marie Claire is trimmed in Swarovski crystal in white rhodium plated brass.  Classic and chic, this ring available size 6-9 oval shaped stunner makes a true fashion statement, overlay with iconic clover design.",XRN000542WCY7
"Marie Claire Marine-Inspired Clover Earrings, Navy Blue with Swarovski Crystals",CHIC,EARRINGS,"These stunning navy blue enamel earrings by Marie Claire are trimmed in gleaming Swarovski crystal in white rhodium plated brass. Classic and chic, these oval buttons, overlay with iconic clover design, make a true fashion statement!",XRE000542WCY
Marie Claire Rhodium Plated Twisted Rope Bangle,CHIC,BANGLE,"This twisted rope bangle by Marie Claire makes a classic style statement alone or mixed with other bracelets. Crafted in white rhodium plated brass, this 7.5-inch slip-on style with clover designed gallery is perfect day or night.",XRG000784W75
Marie Claire Yellow Plated Twisted Rope Bangle,CHIC,BANGLE,"A bangle with a twist, this braided rope slip-on bracelet in yellow plated brass makes a classic style statement. In 7.5-inch size with clover designed gallery, the piece is perfect solo or stacked.",XRG000784Y75
Marie Claire Two-tone Slip-on Bangle with Swarovski Crystals,CHIC,BANGLE,"A radiant bangle for all occasions, this polished white plated brass slip-on bracelet by Marie Claire sparkles with rose clovers detailed with Swarovski crystal. This 7.5-inch slip-on bracelet is the perfect accent, day or night.",XRG000785WCY75
Marie Claire Yellow Plated Slip-on Bangle with Swarovski Crystals,CHIC,BANGLE,"Make a style statement in this polished yellow plated brass bangle by Marie Claire with brilliant yellow clovers accented with Swarovski crystal. Stacked or solo, this 7.5 inch slip-on bracelet is a must-have for any occasion.",XRG000784YCY75
Marie Claire Rhodium Plated Slip-on Bangle with Swarovski Crystals,CHIC,BANGLE,"Perfect on its own or in mixed with others, this polished white plated brass bangle by Marie Claire shines with yellow clovers accented with Swarovski crystal. This 7.5-inch slip-on bracelet is an ideal accessory, day or night.",XRG000784WCY75
Marie Claire Rose Plated Slip-on Bangle with Swarovski Crystals,CHIC,BANGLE,"Wear it alone or stacked, this polished rose plated brass bangle by Marie Claire sparkles with white clovers accented with Swarovski crystal. Perfect for any occasion, this 7.5 inch slip-on bracelet is artfully detailed inside and out.",XRG000784RCY75
